Gen,IdMember,Fitness
45,38,-0.8289066489066489
44,5,-0.7464484639847616
46,35,-0.8514442242372638
45,27,-0.9320103507603505
37,50,-0.3485065571197622
42,49,-0.6118639959971229
45,12,-0.8807808073568942
37,38,-0.59092673992674
45,28,-0.8209041230508621
44,50,-0.802097536965958
41,49,-0.8053714177978885
33,1,-0.5481664862914863
46,5,-0.8993123543123543
40,30,-0.5180862193362193
39,35,-0.6748047703930056
43,24,-0.7862020722267401
46,25,-0.9682284382284383
43,28,-0.6479935159682602
44,6,-0.8586345598845598
40,12,-0.6806746782647812
36,49,-0.25955268925281166
45,21,-0.6947413843466476
44,27,-0.7953358344164796
45,20,-0.6180110954826324
45,14,-0.7328779553779554
21,29,-0.41901515151515145
45,22,-0.5831099791013583
44,43,-0.7614504155974744
44,32,-0.778956866934808
41,40,-0.6398969902646373
40,20,-0.7268688174570528
44,44,-0.8074996842238221
38,39,-0.36362633238794234
45,31,-0.7814199510213443
38,29,-0.6011472936574357
46,16,-0.540078255078255
44,48,-0.7455230880230881
43,20,-0.8440266677766678
46,43,-0.8217191142191143
43,31,-0.8490782828282828
43,22,-0.8291321831763009
46,7,-0.6710634175765755
46,3,-0.9439937839937841
46,2,-0.839080987095693
45,39,-0.8122135015086333
45,26,-0.6428884773027386
46,6,-0.7505433455433457
45,7,-0.8790913090177795
46,28,-0.8110417523652819
46,12,-0.6620436530315563
46,1,-0.7085821535821536
45,46,-0.736401466180878
45,11,-0.4412525052979636
46,24,-0.9077816627816627
46,33,-1.0112286324786326
45,49,-0.790950637082216
39,30,-0.5426866759289527
45,36,-0.691423853923854
46,23,-0.8059116541353383
44,1,-0.6931070616652457
46,29,-1.0376513764013764
42,7,-0.7375471342383108
42,47,-0.5667740385761629
42,26,-0.6878016750691168
46,39,-0.6725634473312493
46,49,-0.9566725921137686
45,8,-0.7175568467480232
45,41,-0.7932431773879142
45,16,-0.6776215451215449
38,10,-0.6004214739508857
46,8,-0.9360707713339291
37,47,-0.5197806360306361
46,47,-0.9081581196581195
37,29,-0.7552602108036891
27,47,-0.5469648146326536
42,2,-0.6318105164025682
44,31,-0.5771887834387834
44,9,-0.7689134601208905
44,38,-0.9093427405927406
42,13,-0.7638749064555517
45,19,-0.7599594645550527
37,2,-0.4463118193650427
44,11,-0.7290595148315737
46,22,-1.0363924963924964
46,30,-0.7885076181128813
46,11,-0.7460137085137084
46,48,-1.000007591442374
45,32,-0.6718980142664354
34,42,-0.4289414567387714
39,49,-0.7137244477832713
42,35,-0.6670012186323162
44,7,-0.8604868742368742
46,15,-0.7876567876567877
41,1,-0.5092016940386507
45,24,-0.6465674603174604
41,37,-0.6460412288860565
46,46,-0.874891387348284
46,45,-0.9027153110047846
46,36,-0.6225584692132176
46,20,-0.810454014939309
