Gen,IdMember,Fitness
1,76,-0.46457600384651476
2,12,-0.39389437443697767
2,12,-0.39389437443697767
4,35,-0.34692266067266064
4,35,-0.34692266067266064
6,14,-0.32013183702937026
6,14,-0.32013183702937026
6,14,-0.32013183702937026
6,14,-0.32013183702937026
10,33,-0.277052662171588
10,33,-0.277052662171588
10,33,-0.277052662171588
10,33,-0.277052662171588
10,33,-0.277052662171588
10,33,-0.277052662171588
10,33,-0.277052662171588
10,33,-0.277052662171588
18,22,-0.25656486762884223
18,22,-0.25656486762884223
18,22,-0.25656486762884223
18,22,-0.25656486762884223
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
22,34,-0.19823264042459088
