Gen,IdMember,Fitness
249,90,0.3167875505865665
249,54,0.20777664024504877
248,33,0.22768303821868835
245,96,0.34231582943162064
248,91,0.26609965570315913
249,24,0.24142279542585185
249,82,0.297292497075949
250,1,0.17346263584676438
239,97,0.3385908069107688
249,42,0.205577959817053
250,45,0.1884045410767802
250,70,0.15112077318963407
250,14,0.30459592285251064
248,66,0.3675787723641186
246,95,0.3278412331496455
249,93,0.29701753249554824
250,68,0.24895257317465788
245,29,0.27935245046784113
245,54,0.26640144371953556
248,50,0.24324396734632028
250,31,0.21970073941312795
249,70,0.22195683971215308
249,97,0.3322646696941377
241,95,0.3697575111671638
250,57,0.33943884498893717
242,1,0.2613142150240037
249,38,0.2641324927504948
245,81,0.28923831071083583
249,41,0.2027094907122007
250,85,0.17582428102731057
250,37,0.31211220502235837
246,79,0.3241335327369711
238,67,0.296110992266591
247,84,0.40147049686357006
250,33,0.2382313131128211
241,69,0.4385086158526487
247,83,0.23418521586657287
246,42,0.2679968062122006
241,77,0.3561550031365023
232,28,0.31055902716455
242,40,0.19607341166967168
242,88,0.33090839762011987
246,100,0.2281429916642358
247,85,0.2275953068040076
242,58,0.24667821225082323
242,97,0.20958738538304902
242,55,0.30526652761978246
243,54,0.3107415249580433
243,66,0.22638824797089555
250,21,0.21762807221831434
246,89,0.21243086216032553
250,3,0.36705786684213143
238,43,0.3320522795413897
250,30,0.22914627994251746
249,89,0.3365108477968854
245,79,0.2743649028140144
248,38,0.25325431879286375
248,72,0.31684829137368203
245,4,0.26929622282499815
249,55,0.29625153733306037
250,7,0.27002124611426603
247,98,0.14286024832526878
236,18,0.25675877664577185
248,99,0.3321402972581389
238,7,0.28762757519518
245,49,0.2872766449435875
242,86,0.27476214070659377
249,2,0.19601831258747268
249,80,0.2501164936696857
249,98,0.2151225557173826
249,85,0.2224249636005433
249,81,0.37159769649907276
249,33,0.2175574234554886
249,21,0.2840056905369143
249,10,0.34640774433917065
249,56,0.21284375258765675
250,28,0.23365003354534278
248,54,0.25827707537886574
250,8,0.28700209525834525
250,78,0.2903501079653571
250,86,0.2721623648553717
249,13,0.27196942886305414
249,17,0.2536870893017236
250,56,0.2448045387251115
250,65,0.2764445355679537
250,25,0.3295594132387854
248,27,0.3488023165662324
247,19,0.18310509631218458
247,18,0.3165506036177986
249,52,0.26410210783812565
250,9,0.19585833425970545
245,34,0.30210268134551904
250,32,0.24137851523418427
249,77,0.27181813282064443
248,47,0.2842439187107544
248,17,0.24341295662943957
250,99,0.17005439726593288
225,52,0.3295393098611147
249,59,0.22364545721541695
250,75,0.28289164719343546
250,89,0.28801281632042414
248,32,0.2861550891552728
235,90,0.22570032651334412
245,41,0.3080565999981243
249,91,0.30977215010648723
247,10,0.299953432674086
248,43,0.1910674263458768
250,27,0.22329418689482378
250,41,0.23545614585117008
250,23,0.2010760398094801
247,20,0.29571404576772886
245,26,0.24502301923058925
248,83,0.26049300876218373
242,99,0.341158631799965
244,50,0.3135249567964736
238,12,0.2920133616430971
249,67,0.2313546214512092
248,8,0.19662075078213959
245,63,0.24979720004762065
247,61,0.3415370607654368
246,70,0.32998722576371475
250,35,0.25632366951082114
250,80,0.28482375703504614
250,87,0.2397394339146638
246,1,0.3157537055221938
249,7,0.15264000409744408
250,81,0.2139296806083536
241,13,0.22490037043920283
237,100,0.22783857838011548
250,59,0.30818757174598027
249,74,0.3793988381170579
246,28,0.18217775740481204
247,100,0.4128110501413756
248,5,0.3059616518860921
249,66,0.3481104196269523
245,62,0.3702244743482783
250,77,0.1782311557639131
250,63,0.26599116793636685
249,36,0.2599920692030443
248,88,0.23112601438411137
250,44,0.14572071240137588
247,38,0.2944136202397834
248,63,0.19677777007727368
250,55,0.1404948397091254
249,65,0.31690586380035546
249,40,0.18072901116966303
249,99,0.2531204931802759
244,36,0.34065147714763383
248,85,0.2531514760629081
250,88,0.20237874272629483
239,80,0.31685558125528285
248,28,0.24242803637883234
248,53,0.22649132641079397
250,100,0.12338241939362363
249,3,0.24273984254535422
231,41,0.36298147669477915
245,80,0.20890274709505177
249,43,0.2753608655878096
250,10,0.1440451652800457
249,1,0.14167450635518053
249,79,0.29960951592311025
243,75,0.19176068024109902
241,90,0.3793329593786749
249,20,0.1489789344392189
248,23,0.25425032662703806
243,97,0.2819227665588555
250,53,0.242158565967187
245,9,0.2243330671230403
241,100,0.3487812064618012
248,6,0.2773943493872836
242,25,0.29219095828640396
248,36,0.2266386369928119
243,53,0.26842226908034905
246,37,0.35115295028814864
246,99,0.24469314237806322
240,83,0.23017093395085875
230,3,0.2689867294031448
248,59,0.18685251341397785
249,88,0.30192943185055954
250,6,0.2573577287105147
247,65,0.23357450160012427
249,50,0.13043575855767497
249,48,0.23517438046989286
250,79,0.18980621727405578
249,26,0.40879673158086033
247,86,0.31978775561495915
250,46,0.24527661435578693
244,8,0.29796273808474777
250,97,0.2501863907468989
250,40,0.10531175186749044
250,15,0.1119321531341227
250,61,0.21234840168425567
250,98,0.2865162402876617
250,29,0.2325912173934763
228,3,0.305159157431854
246,36,0.32449168444245763
245,48,0.2800487077302661
238,65,0.24999869520132556
246,58,0.25059214550926745
250,52,0.15239951926163445
